eta,max_depth,subsample,colsample_bytree,lambda,alpha,n_estimators,accuracy,auc,f1_score,precision,recall
0.01,5,0.6,0.8,1,0,100,0.7089201877934272,0.7551994906621391,0.211864406779661,0.12195121951219512,0.8064516129032258
0.05,5,0.6,0.6,5,1,100,0.7378716744913928,0.755106642614601,0.22273781902552203,0.13008130081300814,0.7741935483870968
0.03,5,0.6,0.5,5,1,100,0.7230046948356808,0.7549474745331068,0.2168141592920354,0.12564102564102564,0.7903225806451613
0.03,5,0.8,0.8,5,1,100,0.7230046948356808,0.7549474745331068,0.2168141592920354,0.12564102564102564,0.7903225806451613
0.001,7,0.6,0.8,5,0,100,0.7230046948356808,0.7549474745331068,0.2168141592920354,0.12564102564102564,0.7903225806451613
0.1,3,0.5,0.6,5,0,100,0.7230046948356808,0.7549474745331068,0.2168141592920354,0.12564102564102564,0.7903225806451613
0.05,5,0.8,0.8,5,0,100,0.7370892018779343,0.7546954584040746,0.2222222222222222,0.12972972972972974,0.7741935483870968
0.05,5,0.6,0.8,5,1,100,0.7370892018779343,0.7546954584040746,0.2222222222222222,0.12972972972972974,0.7741935483870968
0.03,3,0.5,0.8,5,0,300,0.7222222222222222,0.7545362903225806,0.2163355408388521,0.12531969309462915,0.7903225806451613
0.03,5,0.6,0.8,5,0,100,0.7214397496087637,0.7541251061120543,0.21585903083700442,0.125,0.7903225806451613
0.03,3,0.6,0.8,5,1,300,0.7214397496087637,0.7541251061120543,0.21585903083700442,0.125,0.7903225806451613
0.01,7,0.6,0.6,5,1,300,0.7503912363067292,0.7540322580645161,0.22760290556900725,0.1339031339031339,0.7580645161290323
0.03,7,0.5,0.8,5,1,100,0.7503912363067292,0.7540322580645161,0.22760290556900725,0.1339031339031339,0.7580645161290323
0.05,5,0.5,0.8,5,0,100,0.7355242566510172,0.753873089983022,0.22119815668202766,0.12903225806451613,0.7741935483870968
0.03,5,0.8,0.8,5,0,100,0.7206572769953051,0.753713921901528,0.2153846153846154,0.12468193384223919,0.7903225806451613
0.03,3,0.8,0.8,5,1,300,0.7206572769953051,0.753713921901528,0.2153846153846154,0.12468193384223919,0.7903225806451613
0.05,5,0.6,0.8,1,0,100,0.7496087636932708,0.7536210738539898,0.22705314009661837,0.13352272727272727,0.7580645161290323
0.01,5,0.6,0.8,1,1,100,0.7057902973395931,0.7535547538200339,0.21008403361344538,0.12077294685990338,0.8064516129032258
0.1,3,0.6,0.6,1,0,100,0.7347417840375586,0.7534619057724957,0.2206896551724138,0.128686327077748,0.7741935483870968
0.05,3,0.6,0.8,5,1,100,0.690923317683881,0.7533955857385399,0.2052313883299799,0.11724137931034483,0.8225806451612904
0.03,3,0.5,0.8,5,1,300,0.7198748043818466,0.7533027376910016,0.2149122807017544,0.12436548223350254,0.7903225806451613
0.03,3,0.6,0.8,5,0,300,0.7198748043818466,0.7533027376910016,0.2149122807017544,0.12436548223350254,0.7903225806451613
0.01,7,0.5,0.8,5,1,300,0.7488262910798122,0.7532098896434635,0.22650602409638554,0.13314447592067988,0.7580645161290323
0.05,3,0.6,0.8,5,1,300,0.7488262910798122,0.7532098896434635,0.22650602409638554,0.13314447592067988,0.7580645161290323
0.01,7,0.8,0.6,1,0,100,0.7488262910798122,0.7532098896434635,0.22650602409638554,0.13314447592067988,0.7580645161290323
0.1,3,0.6,0.6,5,1,100,0.7190923317683882,0.7528915534804754,0.21444201312910285,0.1240506329113924,0.7903225806451613
0.03,5,0.6,0.6,1,1,300,0.7769953051643192,0.752705857385399,0.24,0.14376996805111822,0.7258064516129032
0.05,5,0.5,0.8,5,1,100,0.7331768388106417,0.7526395373514432,0.21967963386727687,0.128,0.7741935483870968
0.03,5,0.6,0.6,5,1,300,0.7621283255086072,0.7525466893039049,0.23232323232323232,0.1377245508982036,0.7419354838709677
0.03,5,0.5,0.8,5,0,100,0.7183098591549296,0.7524803692699491,0.21397379912663755,0.12373737373737374,0.7903225806451613
0.03,5,0.6,0.8,1,0,100,0.7323943661971831,0.7522283531409168,0.2191780821917808,0.1276595744680851,0.7741935483870968
0.01,5,0.5,0.8,1,0,300,0.7316118935837246,0.7518171689303905,0.21867881548974943,0.1273209549071618,0.7741935483870968
0.01,3,0.8,0.6,5,1,300,0.687793427230047,0.7517508488964347,0.20359281437125748,0.11617312072892938,0.8225806451612904
0.1,3,0.6,0.5,5,1,100,0.7167449139280125,0.7516580008488964,0.21304347826086956,0.12311557788944724,0.7903225806451613
0.1,3,0.8,0.6,5,0,100,0.7167449139280125,0.7516580008488964,0.21304347826086956,0.12311557788944724,0.7903225806451613
0.01,5,0.6,0.6,5,0,100,0.7018779342723005,0.7514988327674024,0.2079002079002079,0.11933174224343675,0.8064516129032258
0.01,5,0.6,0.8,5,0,100,0.7018779342723005,0.7514988327674024,0.2079002079002079,0.11933174224343675,0.8064516129032258
0.03,7,0.5,0.8,1,0,100,0.7746478873239436,0.75147230475382,0.23809523809523808,0.14240506329113925,0.7258064516129032
0.1,3,0.8,0.8,1,0,100,0.730829420970266,0.7514059847198642,0.21818181818181817,0.12698412698412698,0.7741935483870968
0.01,7,0.6,0.6,5,1,100,0.7300469483568075,0.750994800509338,0.21768707482993196,0.1266490765171504,0.7741935483870968
0.01,5,0.8,0.8,1,0,300,0.7300469483568075,0.750994800509338,0.21768707482993196,0.1266490765171504,0.7741935483870968
0.05,7,0.6,0.5,5,1,100,0.758998435054773,0.7509019524617998,0.23,0.13609467455621302,0.7419354838709677
0.03,3,0.8,0.6,5,1,300,0.7151799687010955,0.7508356324278438,0.21212121212121213,0.1225,0.7903225806451613
0.01,7,0.8,0.6,5,0,100,0.744131455399061,0.7507427843803056,0.22327790973871733,0.1309192200557103,0.7580645161290323
0.01,7,0.6,0.8,1,0,100,0.744131455399061,0.7507427843803056,0.22327790973871733,0.1309192200557103,0.7580645161290323
0.01,7,0.5,0.6,5,1,300,0.744131455399061,0.7507427843803056,0.22327790973871733,0.1309192200557103,0.7580645161290323
0.01,5,0.8,0.8,5,0,100,0.7003129890453834,0.7506764643463497,0.2070393374741201,0.1187648456057007,0.8064516129032258
0.03,7,0.6,0.8,1,0,100,0.7730829420970265,0.7506499363327676,0.23684210526315788,0.14150943396226415,0.7258064516129032
0.03,5,0.5,0.5,1,0,100,0.729264475743349,0.7505836162988115,0.2171945701357466,0.12631578947368421,0.7741935483870968
0.01,5,0.6,0.8,1,0,300,0.729264475743349,0.7505836162988115,0.2171945701357466,0.12631578947368421,0.7741935483870968
0.03,3,0.8,0.6,5,0,100,0.6854460093896714,0.7505172962648556,0.20238095238095238,0.11538461538461539,0.8225806451612904
0.05,7,0.5,0.5,5,1,100,0.7582159624413145,0.7504907682512734,0.22942643391521197,0.13569321533923304,0.7419354838709677
0.03,5,0.5,0.5,5,1,100,0.7143974960876369,0.7504244482173175,0.21166306695464362,0.12219451371571072,0.7903225806451613
0.05,5,0.6,0.8,1,1,100,0.7433489827856025,0.7503316001697793,0.22274881516587677,0.13055555555555556,0.7580645161290323
0.01,5,0.6,0.8,1,1,300,0.7284820031298904,0.7501724320882852,0.21670428893905191,0.12598425196850394,0.7741935483870968
0.05,5,0.6,0.6,1,0,100,0.7425665101721439,0.749920415959253,0.2222222222222222,0.13019390581717452,0.7580645161290323
0.05,5,0.6,0.6,1,1,100,0.7425665101721439,0.749920415959253,0.2222222222222222,0.13019390581717452,0.7580645161290323
0.05,3,0.6,0.8,1,1,100,0.6987480438184663,0.749854095925297,0.20618556701030927,0.1182033096926714,0.8064516129032258
0.01,5,0.5,0.6,5,0,100,0.6987480438184663,0.749854095925297,0.20618556701030927,0.1182033096926714,0.8064516129032258
0.03,3,0.8,0.6,5,0,300,0.7128325508607198,0.7496020797962648,0.210752688172043,0.12158808933002481,0.7903225806451613
0.03,5,0.5,0.6,5,1,100,0.7128325508607198,0.7496020797962648,0.210752688172043,0.12158808933002481,0.7903225806451613
0.01,5,0.6,0.5,1,0,100,0.7128325508607198,0.7496020797962648,0.210752688172043,0.12158808933002481,0.7903225806451613
0.03,5,0.5,0.6,1,0,300,0.7856025039123631,0.7495755517826825,0.2430939226519337,0.14666666666666667,0.7096774193548387
0.05,5,0.8,0.6,1,0,100,0.7417840375586855,0.7495092317487266,0.22169811320754718,0.1298342541436464,0.7580645161290323
0.05,3,0.6,0.8,1,0,100,0.6979655712050078,0.7494429117147706,0.205761316872428,0.1179245283018868,0.8064516129032258
0.05,3,0.8,0.6,1,0,100,0.6979655712050078,0.7494429117147706,0.205761316872428,0.1179245283018868,0.8064516129032258
0.001,5,0.5,0.8,5,0,300,0.6979655712050078,0.7494429117147706,0.205761316872428,0.1179245283018868,0.8064516129032258
0.01,7,0.5,0.6,1,0,300,0.770735524256651,0.7494163837011885,0.2349869451697128,0.14018691588785046,0.7258064516129032
0.05,5,0.6,0.5,5,0,100,0.7269170579029735,0.7493500636672326,0.2157303370786517,0.12532637075718014,0.7741935483870968
0.01,5,0.5,0.8,5,0,300,0.7269170579029735,0.7493500636672326,0.2157303370786517,0.12532637075718014,0.7741935483870968
0.03,3,0.6,0.8,1,0,300,0.7269170579029735,0.7493500636672326,0.2157303370786517,0.12532637075718014,0.7741935483870968
0.01,7,0.5,0.8,5,1,100,0.7269170579029735,0.7493500636672326,0.2157303370786517,0.12532637075718014,0.7741935483870968
0.01,7,0.6,0.8,5,0,300,0.755868544600939,0.7492572156196944,0.22772277227722773,0.13450292397660818,0.7419354838709677
0.01,5,0.8,0.8,5,0,300,0.7261345852895149,0.7489388794567062,0.21524663677130046,0.125,0.7741935483870968
0.01,5,0.8,0.8,1,1,300,0.7261345852895149,0.7489388794567062,0.21524663677130046,0.125,0.7741935483870968
0.03,3,0.8,0.8,1,0,300,0.7261345852895149,0.7489388794567062,0.21524663677130046,0.125,0.7741935483870968
