eta,max_depth,subsample,colsample_bytree,lambda,alpha,n_estimators,accuracy,auc,f1_score,precision,recall
0.3,5,0.6,0.6,1,0,300,0.8904538341158059,0.6209942699490663,0.2222222222222222,0.1694915254237288,0.3225806451612903
0.1,5,0.5,0.8,1,0,300,0.8841940532081377,0.6330114601018676,0.22916666666666666,0.16923076923076924,0.3548387096774194
0.3,5,0.5,0.5,1,1,300,0.8841940532081377,0.6330114601018676,0.22916666666666666,0.16923076923076924,0.3548387096774194
0.3,3,0.6,0.6,1,1,300,0.8810641627543035,0.6390200551782683,0.23232323232323232,0.16911764705882354,0.3709677419354839
0.3,5,0.8,0.5,1,0,300,0.8959311424100157,0.6085658955857386,0.21301775147928995,0.16822429906542055,0.2903225806451613
0.3,7,0.8,0.8,1,1,300,0.8896713615023474,0.6205830857385399,0.22099447513812154,0.16806722689075632,0.3225806451612903
0.3,7,0.8,0.8,5,1,300,0.8896713615023474,0.6205830857385399,0.22099447513812154,0.16806722689075632,0.3225806451612903
0.1,5,0.5,0.8,1,1,300,0.8740219092331768,0.6506260611205433,0.23696682464454977,0.16778523489932887,0.4032258064516129
0.3,3,0.8,0.5,5,1,300,0.86697965571205,0.6622320670628183,0.24107142857142858,0.16666666666666666,0.43548387096774194
0.3,7,0.5,0.5,5,1,100,0.86697965571205,0.6622320670628183,0.24107142857142858,0.16666666666666666,0.43548387096774194
0.1,7,0.6,0.5,5,0,300,0.8732394366197183,0.650214876910017,0.2358490566037736,0.16666666666666666,0.4032258064516129
0.3,5,0.8,0.8,1,1,300,0.892018779342723,0.6141633064516129,0.2159090909090909,0.16666666666666666,0.3064516129032258
0.3,7,0.8,0.8,1,1,100,0.892018779342723,0.6141633064516129,0.2159090909090909,0.16666666666666666,0.3064516129032258
0.3,5,0.6,0.5,5,0,300,0.8888888888888888,0.6201719015280135,0.21978021978021978,0.16666666666666666,0.3225806451612903
0.3,7,0.5,0.8,5,1,300,0.8826291079812206,0.6321890916808149,0.2268041237113402,0.16666666666666666,0.3548387096774194
0.1,7,0.8,0.8,1,0,300,0.8951486697965572,0.6081547113752123,0.21176470588235294,0.16666666666666666,0.2903225806451613
0.3,7,0.5,0.5,1,0,100,0.8763693270735524,0.6442062818336164,0.23300970873786409,0.16666666666666666,0.3870967741935484
0.1,5,0.8,0.6,5,0,300,0.8630672926447575,0.6678294779286927,0.24242424242424243,0.16568047337278108,0.45161290322580644
0.1,5,0.5,0.8,5,0,300,0.8724569640062598,0.6498036926994907,0.2347417840375587,0.16556291390728478,0.4032258064516129
0.1,7,0.6,0.6,5,1,300,0.8755868544600939,0.6437950976230901,0.2318840579710145,0.16551724137931034,0.3870967741935484
0.3,5,0.6,0.6,5,0,300,0.8849765258215962,0.6257693123938879,0.2222222222222222,0.16535433070866143,0.3387096774193548
0.3,5,0.6,0.8,1,1,300,0.8881064162754304,0.6197607173174872,0.2185792349726776,0.1652892561983471,0.3225806451612903
0.3,7,0.6,0.8,5,1,300,0.8881064162754304,0.6197607173174872,0.2185792349726776,0.1652892561983471,0.3225806451612903
0.3,3,0.8,0.8,1,1,300,0.8881064162754304,0.6197607173174872,0.2185792349726776,0.1652892561983471,0.3225806451612903
0.3,5,0.8,0.8,5,1,100,0.8685446009389671,0.6554011035653651,0.23636363636363636,0.16455696202531644,0.41935483870967744
0.1,7,0.5,0.8,5,1,300,0.8685446009389671,0.6554011035653651,0.23636363636363636,0.16455696202531644,0.41935483870967744
0.1,7,0.5,0.6,5,1,300,0.8716744913928013,0.6493925084889645,0.2336448598130841,0.16447368421052633,0.4032258064516129
0.3,5,0.8,0.8,5,0,100,0.8748043818466353,0.6433839134125637,0.23076923076923078,0.1643835616438356,0.3870967741935484
0.3,5,0.5,0.8,5,0,300,0.8810641627543035,0.6313667232597624,0.22448979591836735,0.16417910447761194,0.3548387096774194
0.05,5,0.8,0.8,1,1,300,0.848982785602504,0.6910414898132426,0.2490272373540856,0.1641025641025641,0.5161290322580645
0.3,7,0.5,0.8,1,0,300,0.8873239436619719,0.6193495331069611,0.21739130434782608,0.16393442622950818,0.3225806451612903
0.3,7,0.8,0.5,5,1,100,0.8677621283255086,0.6549899193548387,0.23529411764705882,0.16352201257861634,0.41935483870967744
0.3,5,0.6,0.5,5,1,300,0.877151799687011,0.6369641341256367,0.22660098522167488,0.16312056737588654,0.3709677419354839
0.1,7,0.8,0.8,1,1,100,0.8575899843505478,0.6726045203735145,0.24166666666666667,0.16292134831460675,0.46774193548387094
0.3,5,0.5,0.6,5,0,300,0.8834115805946792,0.6249469439728353,0.2198952879581152,0.16279069767441862,0.3387096774193548
0.1,5,0.8,0.8,5,0,300,0.8732394366197183,0.6425615449915111,0.22857142857142856,0.16216216216216217,0.3870967741935484
0.05,7,0.8,0.8,5,0,300,0.8599374021909233,0.6661847410865874,0.23829787234042554,0.16184971098265896,0.45161290322580644
0.3,5,0.6,0.8,5,0,300,0.8826291079812206,0.6245357597623089,0.21875,0.16153846153846155,0.3387096774193548
0.3,3,0.8,0.8,5,0,300,0.8826291079812206,0.6245357597623089,0.21875,0.16153846153846155,0.3387096774193548
0.3,7,0.5,0.5,5,0,100,0.8661971830985915,0.6541675509337861,0.23318385650224216,0.16149068322981366,0.41935483870967744
0.3,3,0.6,0.8,5,1,300,0.8693270735524257,0.6481589558573855,0.2304147465437788,0.16129032258064516,0.4032258064516129
0.05,7,0.5,0.8,1,1,300,0.8693270735524257,0.6481589558573855,0.2304147465437788,0.16129032258064516,0.4032258064516129
0.3,7,0.5,0.8,5,1,100,0.8724569640062598,0.6421503607809848,0.22748815165876776,0.1610738255033557,0.3870967741935484
0.1,7,0.8,0.6,1,1,300,0.8888888888888888,0.6125185696095076,0.2111111111111111,0.16101694915254236,0.3064516129032258
0.3,7,0.5,0.8,5,0,300,0.8888888888888888,0.6125185696095076,0.2111111111111111,0.16101694915254236,0.3064516129032258
0.1,7,0.8,0.6,5,1,300,0.8755868544600939,0.636141765704584,0.22439024390243903,0.16083916083916083,0.3709677419354839
0.1,7,0.8,0.8,5,0,100,0.8458528951486698,0.6893967529711376,0.24521072796934865,0.16080402010050251,0.5161290322580645
0.1,5,0.8,0.8,1,1,300,0.878716744913928,0.6301331706281834,0.22110552763819097,0.16058394160583941,0.3548387096774194
0.3,5,0.5,0.5,5,1,100,0.838810641627543,0.7010027589134126,0.24817518248175183,0.16037735849056603,0.5483870967741935
0.3,7,0.6,0.8,1,0,100,0.8849765258215962,0.618115980475382,0.21390374331550802,0.16,0.3225806451612903
0.3,5,0.6,0.8,1,0,100,0.8779342723004695,0.6297219864176571,0.22,0.15942028985507245,0.3548387096774194
0.3,3,0.8,0.6,1,1,300,0.8810641627543035,0.6237133913412563,0.21649484536082475,0.1590909090909091,0.3387096774193548
0.3,5,0.6,0.5,1,0,300,0.8943661971830986,0.6000901952461799,0.20118343195266272,0.1588785046728972,0.27419354838709675
0.05,7,0.6,0.6,1,1,300,0.8607198748043818,0.6589425933786078,0.23275862068965517,0.1588235294117647,0.43548387096774194
0.1,7,0.8,0.8,1,0,100,0.8607198748043818,0.6589425933786078,0.23275862068965517,0.1588235294117647,0.43548387096774194
0.3,7,0.5,0.5,5,1,300,0.8841940532081377,0.6177047962648556,0.2127659574468085,0.15873015873015872,0.3225806451612903
0.05,5,0.8,0.8,1,0,300,0.8536776212832551,0.6705485993208828,0.23673469387755103,0.15846994535519127,0.46774193548387094
